ArticleEntity,Position_3,Player_3
Q3811688,Q201330,
Q3811688,Q201330,
Q3811688,Q201330,
Q3811688,Q336286,
Q3811688,Q336286,
Q3811688,Q336286,
Q3811688,Q336286,
Q3811688,Q336286,
Q3811688,Q336286,
Q3811688,Q193592,
Q3811688,Q193592,
Q3811688,Q193592,
Q3811688,Q193592,
Q3811688,Q193592,
Q3811688,Q193592,
Q3811688,Q193592,
Q3811688,Q193592,
Q3811688,Q280658,
Q3811688,Q280658,
Q3811688,Q280658,
Q3811688,Q280658,
Q24907130,Q201330,
Q24907130,Q336286,
Q24907130,Q336286,
Q24907130,Q336286,
Q24907130,Q336286,
Q24907130,Q193592,
Q24907130,Q193592,
Q24907130,Q193592,
Q24907130,Q280658,
Q24907130,Q280658,
Q24907130,Q280658,
Q24907130,Q280658,
Q1023220,Q201330,
Q1023220,Q201330,
Q1023220,Q336286,
Q1023220,Q336286,
Q1023220,Q336286,
Q1023220,Q336286,
Q1023220,Q336286,
Q1023220,Q336286,
Q1023220,Q336286,
Q1023220,Q336286,
Q1023220,Q193592,
Q1023220,Q193592,
Q1023220,Q193592,
Q1023220,Q193592,
Q1023220,Q193592,
Q1023220,Q193592,
Q1023220,Q193592,
Q1023220,Q280658,
Q1023220,Q193592,
Q1023220,Q280658,
Q16206423,Q336286,
Q16206423,Q193592,
Q16206423,Q193592,
Q16206423,Q280658,
Q16206423,Q193592,
Q16206423,Q201330,
Q16206423,Q193592,
Q16206423,Q193592,
Q16206423,Q336286,
Q16206423,Q193592,
Q16206423,Q336286,
Q16206423,Q280658,
Q16206423,Q336286,
Q16206423,Q193592,
Q16206423,Q193592,
Q16206423,Q201330,
Q16206423,Q193592,
Q16206423,Q336286,
Q16206423,Q193592,
Q910588,Q201330,
Q910588,Q193592,
Q910588,Q336286,
Q910588,Q336286,
Q910588,Q336286,
Q910588,Q193592,
Q910588,Q280658,
Q910588,Q280658,
Q910588,Q193592,
Q910588,Q193592,
Q910588,Q193592,
Q910588,Q193592,
Q910588,Q280658,
Q910588,Q193592,
Q910588,Q201330,
Q910588,Q193592,
Q910588,Q193592,
Q910588,Q193592,
Q910588,Q193592,
Q910588,Q201330,
Q910588,Q193592,
Q910588,Q280658,
Q6598820,Q193592,
Q6598820,Q336286,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q201330,
Q6598820,Q193592,
Q6598820,Q193592,
Q6598820,Q280658,
Q6598820,Q280658,
Q6598820,Q201330,
