ArticleEntity,spancol_3,1-1,2-1,3-1,4-1,Total-1
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q24204480,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q23303115,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q4604577,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q2879244,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4607905,,,,,,
Q4630300,Q3873624,,,,,
Q4630300,Q585174,,,,,
Q4630300,Q676862,,,,,
Q4630300,Q2534435,,,,,
Q4630300,Q2534403,,,,,
Q4630300,Q1983090,,,,,
Q4630300,Q3589937,,,,,
Q4630300,Q3873624,,,,,
Q4630300,Q676862,,,,,
Q4630300,Q1983090,,,,,
Q4630300,Q2534435,,,,,
Q4630300,Q2534403,,,,,
Q4630300,Q3589937,,,,,
Q4630300,Q3873624,,,,,
Q4630300,Q585174,,,,,
Q4630300,Q1983090,,,,,
Q4630300,Q676862,,,,,
Q4630300,Q2534403,,,,,
Q4630300,Q3589937,,,,,
Q4630300,Q585174,,,,,
Q4630300,Q3873624,,,,,
Q4630300,Q1983090,,,,,
Q4630300,Q2534403,,,,,
Q4630300,Q2534435,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q4602306,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q16850842,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q4613333,,,,,,
Q2906836,,,,,,
Q2906836,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625636,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q4625035,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q30634809,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q16204840,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q19880268,,,,,,
Q4598716,,,,,,
Q4598716,,,,,,
Q16826391,,,,,,
Q16826391,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4578515,,,,,,
Q4622043,,,,,,
Q4622043,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4615122,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q4580997,,,,,,
Q126291,,,,,,
Q126291,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q19868174,,,,,,
Q24636104,,,,,,
Q24636104,,,,,,
Q24636104,,,,,,
Q24636104,,,,,,
Q24636104,,,,,,
