ArticleEntity,Ship_3,Country_3,Description-3
Q6639016,,Q20,Q769680
Q6639016,,Q20,
Q6639016,,Q145,Q4744839
Q6639016,,Q145,Q1019
Q6639016,,Q145,Q145
Q6639016,,Q145,Q1034399
Q6639016,,Q188712,Q329790
Q6639016,,Q41,Q12789
Q6639016,,Q145,Q127892
Q6639016,,Q30,
Q6639016,,Q31,Q184383
Q6639016,Q7393830,Q13426199,Q845565
Q6639016,,Q188712,Q1131980
Q6639016,,Q188712,Q188712
Q6639016,,Q145,Q127892
Q6639016,,Q20,Q4567115
Q6639016,,Q41,Q719903
Q6639016,,Q145,Q812
Q6639016,,Q41,Q131694
Q6639016,,Q298,
Q6639016,,Q30,Q18383
Q6639016,,Q145,Q127892
Q6639016,,Q145,Q2936541
Q6639016,,Q145,Q127892
Q6639016,,Q20,Q4405214
Q6639016,,Q145,Q864688
Q6639016,,Q29,
Q6639016,,Q41304,
Q6639016,,Q172579,Q127892
Q6639016,,Q20,Q44059
Q6639016,,Q41,Q127892
Q6639016,,Q20,Q1020010
Q6639016,,Q188712,
Q6639016,,Q35,Q545
Q6639016,,Q145,
Q6639016,,Q29,Q4918
Q6639016,,Q34,Q1001109
Q6639016,,Q145,
Q6639016,,Q145,
Q6639016,,Q30,Q1628679
Q6639016,,Q191,
Q6639016,Q30592734,Q30,Q1169
Q6639016,,Q34,Q49231
Q6639016,,Q172579,Q1486
Q6639016,,Q29,Q550606
Q6639016,,Q778,Q206423
Q6639016,,Q30,Q206423
Q6639016,,Q188712,
Q6639016,,Q717,Q1247
Q6639016,,Q31,
Q6639016,,Q145,Q145
Q6639016,,Q41,Q79808
Q6639016,,Q20,Q1020010
Q6639016,,Q145,Q185111
Q6639016,,Q20,Q972546
Q6639016,,Q41,
Q6639016,,Q796754,Q890975
Q6639016,,Q145,Q273014
Q6639016,,Q142,Q218272
Q6639016,,Q45,Q3932
Q6639016,,Q20,Q5689
Q6639016,,Q30,Q122574
Q6639016,,Q29,Q218272
Q6639016,,Q41304,
Q6639016,,Q41304,Q215177
Q6639016,,Q145,Q1066
Q6639016,,Q35,Q1255278
Q6639016,,Q30,Q40435
Q6639016,,Q30,
Q6639016,,Q30,
Q6639016,,Q30,
Q6639016,,Q30,
Q6639016,,Q30,
Q6639016,,Q145,Q204940
Q6639016,,Q145,Q7447607
Q6639016,,Q145,Q204577
Q6639016,,Q35,Q2636744
Q6639016,,Q145,Q23159
Q6639016,,Q145,Q145
Q6639016,,Q29,
Q6639016,,Q145,Q204412
Q6639016,,Q142,
Q6639016,,Q30,Q5050161
Q6639016,,Q145,Q25287
Q6639016,,Q145,Q1136198
Q6639016,,Q30,Q135744
Q6639016,,Q45,Q543542
Q6639016,,Q55,Q749
Q6639016,,Q20,Q886899
Q6639016,,Q145,Q209113
Q6639016,,Q145,Q614720
Q6639016,,Q13426199,Q37660
Q6639016,,Q145,
Q6639016,,Q31,Q2017684
Q6639016,,Q41,Q1361324
Q6639016,,Q145,Q1724571
Q6639016,,Q15180,Q35958
Q6639016,,Q41304,Q36433
Q6639016,,Q31,Q8818
Q6639016,,Q30,Q806424
Q6639016,,Q145,Q23156
Q6639016,,Q188712,Q797
Q6639016,,Q142,Q166
Q6639016,,Q15180,Q271925
Q6639016,,Q142,Q15180
Q6639016,,Q20,Q7399372
Q6639016,,Q145,
Q6639016,,Q188712,
Q6639016,,Q211,Q215177
Q6639016,,Q41304,Q515085
Q6639016,,Q41,Q5065650
Q6639016,,Q172579,
Q6639016,,Q172579,
Q6639016,,Q172579,
Q6639016,,Q172579,
Q6639016,,Q172579,
Q6639016,,Q145,Q550995
Q6639016,,Q145,Q4076772
Q6639016,,Q30,Q1861798
Q6639016,,Q20,Q44823
Q6639016,,Q145,Q36405
Q6639016,,Q145,Q7238910
Q6639016,,Q41,Q4918
Q6639016,,Q30,Q1356184
Q6639016,,Q34,
Q6639016,,Q145,Q1137202
Q6639016,,Q145,Q339527
Q6639016,,Q142,Q97
Q6639016,,Q30,Q2132
Q6639016,,Q30,Q3046350
Q6639016,,Q145,Q216173
Q6639016,,Q145,Q97
Q6639016,,Q145,
Q6639016,,Q41,Q35367
Q6639016,,Q172579,Q127892
Q6639016,,Q41,Q545
Q6639016,,Q30,Q2251
Q18085743,,Q142,Q142
Q52456830,,Q30,Q661708
Q52456830,,Q27306,Q5660
Q52456830,,Q174193,
Q52456830,,Q142,
Q52456830,,Q1055,Q2148317
Q52456830,,Q174193,Q886899
Q52456830,,Q174193,Q190684
Q52456830,,Q30,Q202539
Q52456830,,Q174193,Q19699
Q52456830,,Q174193,Q428829
Q52456830,,Q174193,Q745989
Q18160412,Q23640784,Q30,
Q18160412,,Q30,Q1359323
Q18160412,,Q174193,Q82490
Q20311687,Q785747,Q217406,Q450318
Q20311687,,Q170072,
Q20311687,,Q45,Q204577
Q20311687,,Q29,Q1933634
Q20311687,,Q170072,
Q20311687,,Q172771,Q1454
Q20311687,,Q172771,Q1006
Q20311687,,Q172771,Q194205
Q23640653,,Q45,Q70972
Q23640653,,Q172771,Q913793
Q52457856,,Q174193,
Q52457856,,Q174193,Q178283
Q52457856,,Q174193,Q886899
Q52457856,,Q174193,Q162475
Q52457856,,Q174193,
Q52457856,,Q174193,
Q52457856,,Q174193,
Q52457856,,Q174193,Q2324662
Q52457856,,Q174193,Q3059075
Q52457856,,Q174193,Q216835
Q52457856,,Q174193,Q237253
Q52457856,,Q174193,Q1853868
Q52457856,,Q174193,Q1043657
Q52457856,,Q174193,Q23159
Q52457856,,Q174193,
Q52457856,,Q35,Q216422
Q52457856,,Q174193,Q34640
Q52457856,,Q174193,Q142360
Q52457856,,Q174193,Q652101
Q52457856,,Q174193,Q652101
Q52457856,,Q174193,Q1329355
Q52457856,,Q174193,Q180209
Q6639134,,Q172771,Q6514
Q6639134,,Q155,Q2055880
Q6639134,,Q172771,Q3308902
Q6639134,,Q172771,Q18569
Q6638963,,Q217406,Q324233
Q6638963,,Q217406,Q324233
Q6638963,,Q174193,
Q6638963,,Q174193,Q216057
Q6639261,,Q151701,Q384858
Q6639261,,Q151701,
Q6639261,,Q276535,Q185000
Q6639261,,Q855186,Q1569963
Q20311528,,Q159766,Q2035668
Q20311528,,Q172771,Q1933634
Q20311528,,Q172771,Q870815
Q20311528,,Q29,Q519873
Q20311528,,Q29,Q892368
Q20311528,,Q29,Q2901054
Q20311528,,Q29,Q938815
Q20311528,,Q29,Q161705
Q20311528,,Q29,
Q20311528,,Q29,
Q20311528,,Q29,
Q20311528,,Q29,Q220635
Q20311528,Q7413830,Q29,
Q20311528,,Q29,
Q20311528,Q7414429,Q29,Q7201608
Q20311528,,Q29,Q2901113
Q20311528,,Q29,Q1123937
Q6639178,,Q174193,
Q6639178,,Q172771,Q3308902
Q6639178,,Q172771,
Q6639178,,Q174193,Q204577
Q6639178,,Q174193,
Q6639178,,Q172771,Q973740
Q18160417,,Q174193,Q202539
Q18160417,,Q174193,Q202539
Q18160417,,Q174193,Q202539
Q18160417,,Q174193,Q202539
Q14875546,,Q20,Q1771336
Q14875546,,Q145,Q162475
Q14875546,,Q41,Q4103
Q14875546,,Q41304,Q127892
Q14875546,,Q172579,
Q14875546,,Q188712,Q35581
Q14875546,,Q188712,Q7792
Q14875546,,Q34,Q1297438
Q14875546,,Q142,Q40942
Q14875546,,Q145,Q35827
Q14875546,,Q298,
Q14875546,,Q145,
Q14875546,,Q41,Q127892
Q14875546,,Q145,Q9009904
Q14875546,,Q145,Q10084
Q14875546,,Q298,Q33986
Q14875546,,Q188712,Q5413
Q14875546,,Q34,Q79808
Q14875546,,Q145,Q133123
Q14875546,,Q41,Q58976
Q14875546,,Q188712,Q692745
Q14875546,,Q41304,
Q14875546,,Q29,Q372090
Q14875546,,Q41,
Q14875546,,Q30,Q37320
Q14875546,,Q172579,Q5823
Q14875546,,Q30,
Q14875546,,Q188712,
Q14875546,,Q188712,Q36117
Q14875546,,Q172579,
Q14875546,,Q145,Q127892
Q14875546,,Q16,Q1018711
Q14875546,,Q145,Q38610
Q14875546,,Q33,Q204577
Q14875546,,Q20,Q247062
Q14875546,,Q145,Q127892
Q14875546,,Q145,
Q14875546,,Q30,Q485186
Q14875546,,Q188712,Q502205
Q14875546,,Q145,Q4936404
Q14875546,,Q41304,Q697196
Q14875546,,Q30,Q97
Q14875546,,Q35,Q215177
Q14875546,,Q30,Q738808
Q14875546,,Q41304,Q780785
Q14875546,,Q17,
Q14875546,,Q41304,Q2109119
Q14875546,,Q41304,Q6514892
Q14875546,,Q145,Q7406104
Q14875546,,Q41304,Q204412
Q14875546,,Q172579,Q127892
Q14875546,,Q41,Q58976
Q14875546,,Q30,Q233808
Q14875546,,Q145,Q10084
Q14875546,,Q145,Q127892
Q14875546,,Q41304,Q25287
Q14875546,,Q34,Q1015454
Q14875546,,Q142,Q127892
Q14875546,,Q20,
Q14875546,,Q188712,Q26418
Q14875546,,Q145,
Q14875546,,Q33,Q239276
Q14875546,,Q188712,Q26418
Q14875546,,Q188712,
Q14875546,,Q142,Q1239
Q14875546,,Q29,Q12273
Q14875546,,Q30,Q204577
Q14875546,,Q34,Q104662
Q14875546,,Q145,Q127892
Q14875546,,Q188712,
Q14875546,,Q188712,
Q14875546,,Q41,Q648732
Q14875546,,Q55,Q34370
Q14875546,,Q188712,Q13987
Q14875546,,Q20,Q127892
Q14875546,,Q41,Q127892
Q14875546,,Q145,
Q14875546,,Q145,Q1208250
Q14875546,,Q145,Q23968
